Form,URL,Status
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000334/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000331/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000325/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000338/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000329/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000340/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000316/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000328/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000320/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000315/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000311/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000312/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000314/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000313/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000309/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000297/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000298/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000310/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000308/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000296/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000295/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000294/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000293/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000290/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000291/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000292/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000289/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000288/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000286/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000287/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000285/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000284/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000283/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000255/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000264/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000266/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000248/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000242/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000247/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000246/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000238/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000237/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000236/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000235/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000233/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000232/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000234/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000231/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000219/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000230/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000220/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000218/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000216/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000215/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000217/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000214/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000212/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000213/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000211/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000209/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000210/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000208/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000206/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000207/,Failed (429)
3,https://www.sec.gov/Archives/edgar/data/731766/000073176624000186/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000205/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000188/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000173/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000177/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000171/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000175/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000169/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000167/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000165/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000159/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000161/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000164/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000157/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000142/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000141/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000146/,Failed (429)
3,https://www.sec.gov/Archives/edgar/data/731766/000073176624000140/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000139/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000138/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000137/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000135/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000136/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000133/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000117/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000118/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000134/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000073176624000122/,Failed (429)
8-K,https://www.sec.gov/Archives/edgar/data/731766/000119312524073887/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000119/,Failed (429)
4,https://www.sec.gov/Archives/edgar/data/731766/000073176624000115/,Failed (429)
